,beer_names,style,07-28-2022,07-29-2022,07-30-2022,07-31-2022,08-01-2022,08-02-2022
1356,Deformation,Pilsner - Other,3.97,3.97,3.97,3.97,3.97,3.97
1357,Deformation,Pilsner - Other,3.97,3.97,3.97,3.97,3.97,
1358,Deformation,Pilsner - Other,3.97,3.97,3.97,3.97,,3.97
1359,Deformation,Pilsner - Other,3.97,3.97,3.97,3.97,,
1360,Deformation,Pilsner - Other,3.97,3.97,3.97,,3.97,3.97
1361,Deformation,Pilsner - Other,3.97,3.97,3.97,,3.97,
1362,Deformation,Pilsner - Other,3.97,3.97,3.97,,,3.97
1363,Deformation,Pilsner - Other,3.97,3.97,3.97,,,
1364,Deformation,Pilsner - Other,3.97,3.97,,3.97,3.97,3.97
1365,Deformation,Pilsner - Other,3.97,3.97,,3.97,3.97,
1366,Deformation,Pilsner - Other,3.97,3.97,,3.97,,3.97
1367,Deformation,Pilsner - Other,3.97,3.97,,3.97,,
1368,Deformation,Pilsner - Other,3.97,3.97,,,3.97,3.97
1369,Deformation,Pilsner - Other,3.97,3.97,,,3.97,
1370,Deformation,Pilsner - Other,3.97,3.97,,,,3.97
1371,Deformation,Pilsner - Other,3.97,3.97,,,,
1372,Deformation,Pilsner - Other,3.97,,3.97,3.97,3.97,3.97
1373,Deformation,Pilsner - Other,3.97,,3.97,3.97,3.97,
1374,Deformation,Pilsner - Other,3.97,,3.97,3.97,,3.97
1375,Deformation,Pilsner - Other,3.97,,3.97,3.97,,
1376,Deformation,Pilsner - Other,3.97,,3.97,,3.97,3.97
1377,Deformation,Pilsner - Other,3.97,,3.97,,3.97,
1378,Deformation,Pilsner - Other,3.97,,3.97,,,3.97
1379,Deformation,Pilsner - Other,3.97,,3.97,,,
1380,Deformation,Pilsner - Other,3.97,,,3.97,3.97,3.97
1381,Deformation,Pilsner - Other,3.97,,,3.97,3.97,
1382,Deformation,Pilsner - Other,3.97,,,3.97,,3.97
1383,Deformation,Pilsner - Other,3.97,,,3.97,,
1384,Deformation,Pilsner - Other,3.97,,,,3.97,3.97
1385,Deformation,Pilsner - Other,3.97,,,,3.97,
1386,Deformation,Pilsner - Other,3.97,,,,,3.97
1387,Deformation,Pilsner - Other,3.97,,,,,
1388,Deformation,Pilsner - Other,,3.97,3.97,3.97,3.97,3.97
1389,Deformation,Pilsner - Other,,3.97,3.97,3.97,3.97,
1390,Deformation,Pilsner - Other,,3.97,3.97,3.97,,3.97
1391,Deformation,Pilsner - Other,,3.97,3.97,3.97,,
1392,Deformation,Pilsner - Other,,3.97,3.97,,3.97,3.97
1393,Deformation,Pilsner - Other,,3.97,3.97,,3.97,
1394,Deformation,Pilsner - Other,,3.97,3.97,,,3.97
1395,Deformation,Pilsner - Other,,3.97,3.97,,,
1396,Deformation,Pilsner - Other,,3.97,,3.97,3.97,3.97
1397,Deformation,Pilsner - Other,,3.97,,3.97,3.97,
1398,Deformation,Pilsner - Other,,3.97,,3.97,,3.97
1399,Deformation,Pilsner - Other,,3.97,,3.97,,
1400,Deformation,Pilsner - Other,,3.97,,,3.97,3.97
1401,Deformation,Pilsner - Other,,3.97,,,3.97,
1402,Deformation,Pilsner - Other,,3.97,,,,3.97
1403,Deformation,Pilsner - Other,,3.97,,,,
1404,Deformation,Pilsner - Other,,,3.97,3.97,3.97,3.97
1405,Deformation,Pilsner - Other,,,3.97,3.97,3.97,
1406,Deformation,Pilsner - Other,,,3.97,3.97,,3.97
1407,Deformation,Pilsner - Other,,,3.97,3.97,,
1408,Deformation,Pilsner - Other,,,3.97,,3.97,3.97
1409,Deformation,Pilsner - Other,,,3.97,,3.97,
1410,Deformation,Pilsner - Other,,,3.97,,,3.97
1411,Deformation,Pilsner - Other,,,3.97,,,
1412,Deformation,Pilsner - Other,,,,3.97,3.97,3.97
1413,Deformation,Pilsner - Other,,,,3.97,3.97,
1414,Deformation,Pilsner - Other,,,,3.97,,3.97
1415,Deformation,Pilsner - Other,,,,3.97,,
1416,Deformation,Pilsner - Other,,,,,3.97,3.97
1417,Deformation,Pilsner - Other,,,,,3.97,
1418,Deformation,Pilsner - Other,,,,,,3.97
1419,Deformation,Pilsner - Other,,,,,,
1420,Obelisk of Sinister Will,Lager - Vienna,3.85,3.85,3.85,3.85,3.85,3.85
1421,Spectre In the Phenomenon,IPA - American,,,,,,
1422,A Spectre In the Phenomenon,IPA - American,4.16,4.16,4.16,4.16,4.16,4.16
1423,Into the Well,IPA - Imperial / Double,4.24,4.24,4.24,4.24,4.24,4.24
1424,A Question of Who And Why,IPA - American,4.11,4.11,4.11,4.11,4.11,4.11
1425,Acquiescence of the Nonconformist,Stout - Imperial / Double,4.27,4.27,4.27,4.27,4.27,4.27
1426,Things Saved For Prayer,Sour - Fruited,4.21,4.21,4.21,4.21,4.21,4.21
1427,Levitation of the Overlord,Sour - Other,4.17,4.17,4.17,4.17,4.17,4.17
1428,A Guillotine of Contemplation,IPA - Imperial / Double,4.32,4.32,4.32,4.32,4.32,4.32
1429,Misfits of Reverberance,IPA - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
1430,Malcontents of Dissonance,IPA - Triple,4.43,4.43,4.43,4.43,4.43,4.43
1431,I'm Glad I'm Not Going Anymore It's Totally Miserable Out There,Stout - Imperial / Double,4.4,4.4,4.4,4.4,4.4,4.4
1432,An Allowable Sense of Precaution,Stout - Imperial / Double,4.11,4.11,4.11,4.11,4.11,4.11
1433,A Savage Kingdom of Madness,Stout - Imperial / Double,4.37,4.37,4.37,4.37,4.37,4.37
1434,The Peace We Found In Tombs,Strong Ale - Other,4.31,4.31,4.31,4.31,4.31,4.32
1435,From Grave To Glory,Sour - Fruited,4.18,4.18,4.18,4.18,4.18,4.18
1436,Heavier Notions,Lager - American,3.95,3.95,3.95,3.95,3.95,3.95
1437,Isn’t Enough,Stout - Imperial / Double Pastry,4.37,4.37,4.37,4.37,4.37,4.37
1438,People Power Mild,Mild - Other,3.81,3.81,3.81,3.81,3.81,3.81
1439,The Only Trail From Nowhere,Stout - Imperial / Double,4.43,4.43,4.43,4.43,4.43,4.43
1440,Manifestations of Majestic Memoir,IPA - American,4.0,4.0,4.0,4.0,4.0,4.0
1441,The Slow Down,IPA - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
1442,A Brilliantly Deformed Corpse Nevertheless,Stout - Imperial / Double,4.47,4.47,4.47,4.47,4.47,4.47
1443,Camp Pale,Pale Ale - American,3.85,3.85,3.85,3.85,3.85,3.85
1444,The Fragility of Aging Beasts,IPA - American,4.06,4.06,4.06,4.06,4.06,4.06
1445,The Riches of Regenerative Spectacle,Sour - Fruited,3.93,3.93,3.93,3.93,3.93,3.93
1446,The Land of Many Moons,Farmhouse Ale - Saison,4.07,4.07,4.07,4.07,4.07,4.07
1447,Cannibalistic Methodologies,IPA - Imperial / Double,4.39,4.39,4.39,4.39,4.39,4.39
1448,The Demons That Reason With Me,IPA - Triple New England / Hazy,4.41,4.41,4.41,4.41,4.41,4.41
1449,Forsaken Blatherings of Nonsequitur,Stout - Imperial / Double,4.45,4.45,4.45,4.45,4.45,4.45
1450,Reason Being,Pilsner - Other,3.94,3.94,3.94,3.94,3.94,3.94
1451,Feast of Suffering,IPA - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
1452,This Blasphemous Laminated Lambasting Nonsensicalness,Stout - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
1453,The Images We Left Behind,Sour - Other,4.09,4.09,4.09,4.09,4.09,4.09
1454,When We Lived On Other Planets,IPA - American,4.05,4.05,4.05,4.05,4.05,4.05
1455,Immolation of Hallowed Fields Smoked Porter,Smoked Beer,4.0,4.0,4.0,4.0,4.0,4.0
1456,Postmodern Depictions of Natural Phenomena,IPA - Imperial / Double,4.37,4.37,4.37,4.37,4.37,4.37
1457,The Menacing Aura of A World Believing In Nothing,Stout - Imperial / Double,4.56,4.56,4.56,4.56,4.56,4.56
1458,Awakened In the Depths of the Neverending,Stout - Imperial / Double,4.49,4.49,4.49,4.49,4.49,4.49
1459,The Opulence of What Once Was,IPA - Imperial / Double,4.32,4.32,4.32,4.32,4.32,4.32
1460,Being Nowhere Going Everywhere,Porter - Other,4.0,4.0,4.0,4.0,4.0,4.0
1461,Prophetmaker,Pale Ale - American,3.93,3.93,3.93,3.93,3.93,3.93
1462,I Sit Among An Infestation of Useless Violence,IPA - Imperial / Double,4.4,4.4,4.4,4.4,4.4,4.4
1463,Not A Thing Left To Say,IPA - Triple,4.5,4.5,4.5,4.5,4.5,4.5
1464,The Searcher and the Savage is Me,IPA - American,4.06,4.06,4.06,4.06,4.06,4.06
1465,Walking Through the Abyss Into Nowhere,Stout - Imperial / Double Pastry,4.51,4.51,4.51,4.51,4.51,4.51
1466,End of Plagues,IPA - American,4.2,4.2,4.2,4.2,4.2,4.2
1467,A Final Space For Lost Souls,IPA - Imperial / Double,4.38,4.38,4.38,4.38,4.38,4.38
1468,A Faint Glimmer of Hope Notwithstanding,Stout - Imperial / Double,4.09,4.09,4.09,4.09,4.09,4.09
1469,Apostles of Solitude,IPA - New England / Hazy,4.03,4.03,4.03,4.03,4.03,4.03
1470,Perceptions of Carnage,IPA - Imperial / Double,4.41,4.41,4.41,4.41,4.41,4.41
1471,Dark,Lager - Dark,3.96,3.96,3.96,3.96,3.96,3.96
1472,Following Serpents,Sour - Other,4.08,4.08,4.08,4.08,4.08,4.08
1473,Immortal Initiation of the Naysayer,Stout - Imperial / Double,4.4,4.4,4.4,4.4,4.4,4.4
1474,Despite All This Lunacy,IPA - American,4.22,4.22,4.22,4.22,4.22,4.22
1475,The Heavenly Atmosphere of Unrelenting Nothingness,Stout - Imperial / Double,4.48,4.48,4.48,4.48,4.48,4.48
1476,Ulfbehrt Foudre-Aged,Porter - Baltic,4.05,4.05,4.05,4.05,4.05,4.05
1477,Treme American Wild Ale,Wild Ale - American,,,,,,
1478,Heaven Is Wasted On the Dead,IPA - Imperial / Double,4.38,4.38,4.38,4.38,4.38,4.38
1479,Salvation For None,Stout - Imperial / Double,4.3,4.3,4.3,4.3,4.3,4.3
1480,Reflections of Disillusionment,IPA - Imperial / Double,4.26,4.26,4.26,4.26,4.26,4.26
1481,Spectacle of Martyrdom,Mild - Dark,3.84,3.84,3.84,3.84,3.84,3.84
1482,A Monolithic Theory of A Spirit Neverseen,Stout - Imperial / Double,4.49,4.49,4.49,4.49,4.49,4.49
1483,Essence of Longevity,Sour - Other,3.97,3.97,3.97,3.97,3.97,3.97
1484,Mirage of Forester,Stout - Imperial / Double,4.36,4.36,4.36,4.36,4.36,4.36
1485,This Is Where I Left My Lucidity,IPA - Imperial / Double New England / Hazy,4.1,4.1,4.1,4.1,4.1,4.1
1486,Above the Rippling Water,Cider - Ice / Applewine,,,,,,
1487,Preternatural Ambiance,IPA - Imperial / Double,4.37,4.37,4.37,4.37,4.37,4.37
1488,A Methodical Monotony That Was Neverhere,Stout - Imperial / Double,4.41,4.41,4.41,4.41,4.41,4.41
1489,The Blood They Spilled,Sour - Other,3.97,3.97,3.97,3.97,3.97,3.97
1490,Riches To Regenerative Spectacle,Sour - Fruited,,,,,,
1491,The Wake of Time's Cruel Slaughter Is Neverfading,Stout - Imperial / Double,4.47,4.47,4.47,4.47,4.47,4.47
1492,Visuals Mulled Cider,Cider - Other Fruit,3.29,3.29,3.29,3.29,3.29,3.29
1493,The Consequences of Humanity (2021 Release),IPA - Imperial / Double,4.35,4.35,4.35,4.35,4.35,4.35
1494,And We Pray,Farmhouse Ale - Saison,3.95,3.95,3.95,3.95,3.95,3.95
1495,Captive To Psychotic Urge,IPA - Triple,4.42,4.42,4.42,4.42,4.42,4.42
1496,Victims Aren't We All,IPA - American,4.17,4.17,4.17,4.17,4.17,4.17
1497,A Constant State of Panic,IPA - American,3.96,3.96,3.96,3.96,3.96,3.96
1498,Mythologies of Realism,IPA - Imperial / Double,4.35,4.35,4.35,4.35,4.35,4.35
1499,The Steady Resonance of Voices Neverheard,Stout - Imperial / Double,4.36,4.36,4.36,4.36,4.36,4.36
1500,Evidence That Life Still Remains,IPA - American,4.24,4.24,4.24,4.24,4.24,4.24
1501,Reptar Juice,IPA - American,,,,,,
1502,Welcome To H-E Double Hockey Sticks,Lager - Dark,4.0,4.0,4.0,4.0,4.0,4.0
1503,A Chapel of Ease,IPA - Imperial / Double,4.24,4.24,4.24,4.24,4.24,4.24
1504,The Hallowed Ascent of the Neverstill,Stout - Imperial / Double,4.5,4.5,4.5,4.5,4.5,4.5
1505,Warpaint,IPA - American,4.2,4.2,4.2,4.2,4.2,4.2
1506,In Between Ruin And Lucidity,IPA - Triple,4.42,4.42,4.42,4.42,4.42,4.42
1507,Where Defining Boundaries And Crucial Logic Neverstood,Stout - Imperial / Double,4.38,4.38,4.38,4.38,4.38,4.38
1508,Philosophical Ideologies of Moralistic Indignation,IPA - Imperial / Double New England / Hazy,4.34,4.34,4.34,4.34,4.34,4.34
1509,This Morsel of Mortality Is Nevergone,Stout - Imperial / Double,4.27,4.27,4.27,4.27,4.27,4.27
1510,A Lair of Perpetual Flourishing,Sour - Other,3.98,3.98,3.98,3.98,3.98,3.98
1511,Somatic Effect,Lager - American,3.84,3.84,3.84,3.84,3.84,3.84
1512,Go In Shadows,Sour - Other,3.76,3.76,3.76,3.76,3.76,3.76
1513,Go In Shadows,Sour - Other,3.76,3.76,3.76,3.76,3.76,4.03
1514,Go In Shadows,Sour - Other,3.76,3.76,3.76,3.76,4.03,3.76
1515,Go In Shadows,Sour - Other,3.76,3.76,3.76,3.76,4.03,4.03
1516,Go In Shadows,Sour - Other,3.76,3.76,3.76,4.03,3.76,3.76
1517,Go In Shadows,Sour - Other,3.76,3.76,3.76,4.03,3.76,4.03
1518,Go In Shadows,Sour - Other,3.76,3.76,3.76,4.03,4.03,3.76
1519,Go In Shadows,Sour - Other,3.76,3.76,3.76,4.03,4.03,4.03
1520,Go In Shadows,Sour - Other,3.76,3.76,4.03,3.76,3.76,3.76
1521,Go In Shadows,Sour - Other,3.76,3.76,4.03,3.76,3.76,4.03
1522,Go In Shadows,Sour - Other,3.76,3.76,4.03,3.76,4.03,3.76
1523,Go In Shadows,Sour - Other,3.76,3.76,4.03,3.76,4.03,4.03
1524,Go In Shadows,Sour - Other,3.76,3.76,4.03,4.03,3.76,3.76
1525,Go In Shadows,Sour - Other,3.76,3.76,4.03,4.03,3.76,4.03
1526,Go In Shadows,Sour - Other,3.76,3.76,4.03,4.03,4.03,3.76
1527,Go In Shadows,Sour - Other,3.76,3.76,4.03,4.03,4.03,4.03
1528,Go In Shadows,Sour - Other,3.76,4.03,3.76,3.76,3.76,3.76
1529,Go In Shadows,Sour - Other,3.76,4.03,3.76,3.76,3.76,4.03
1530,Go In Shadows,Sour - Other,3.76,4.03,3.76,3.76,4.03,3.76
1531,Go In Shadows,Sour - Other,3.76,4.03,3.76,3.76,4.03,4.03
1532,Go In Shadows,Sour - Other,3.76,4.03,3.76,4.03,3.76,3.76
1533,Go In Shadows,Sour - Other,3.76,4.03,3.76,4.03,3.76,4.03
1534,Go In Shadows,Sour - Other,3.76,4.03,3.76,4.03,4.03,3.76
1535,Go In Shadows,Sour - Other,3.76,4.03,3.76,4.03,4.03,4.03
1536,Go In Shadows,Sour - Other,3.76,4.03,4.03,3.76,3.76,3.76
1537,Go In Shadows,Sour - Other,3.76,4.03,4.03,3.76,3.76,4.03
1538,Go In Shadows,Sour - Other,3.76,4.03,4.03,3.76,4.03,3.76
1539,Go In Shadows,Sour - Other,3.76,4.03,4.03,3.76,4.03,4.03
1540,Go In Shadows,Sour - Other,3.76,4.03,4.03,4.03,3.76,3.76
1541,Go In Shadows,Sour - Other,3.76,4.03,4.03,4.03,3.76,4.03
1542,Go In Shadows,Sour - Other,3.76,4.03,4.03,4.03,4.03,3.76
1543,Go In Shadows,Sour - Other,3.76,4.03,4.03,4.03,4.03,4.03
1544,Go In Shadows,Sour - Other,4.03,3.76,3.76,3.76,3.76,3.76
1545,Go In Shadows,Sour - Other,4.03,3.76,3.76,3.76,3.76,4.03
1546,Go In Shadows,Sour - Other,4.03,3.76,3.76,3.76,4.03,3.76
1547,Go In Shadows,Sour - Other,4.03,3.76,3.76,3.76,4.03,4.03
1548,Go In Shadows,Sour - Other,4.03,3.76,3.76,4.03,3.76,3.76
1549,Go In Shadows,Sour - Other,4.03,3.76,3.76,4.03,3.76,4.03
1550,Go In Shadows,Sour - Other,4.03,3.76,3.76,4.03,4.03,3.76
1551,Go In Shadows,Sour - Other,4.03,3.76,3.76,4.03,4.03,4.03
1552,Go In Shadows,Sour - Other,4.03,3.76,4.03,3.76,3.76,3.76
1553,Go In Shadows,Sour - Other,4.03,3.76,4.03,3.76,3.76,4.03
1554,Go In Shadows,Sour - Other,4.03,3.76,4.03,3.76,4.03,3.76
1555,Go In Shadows,Sour - Other,4.03,3.76,4.03,3.76,4.03,4.03
1556,Go In Shadows,Sour - Other,4.03,3.76,4.03,4.03,3.76,3.76
1557,Go In Shadows,Sour - Other,4.03,3.76,4.03,4.03,3.76,4.03
1558,Go In Shadows,Sour - Other,4.03,3.76,4.03,4.03,4.03,3.76
1559,Go In Shadows,Sour - Other,4.03,3.76,4.03,4.03,4.03,4.03
1560,Go In Shadows,Sour - Other,4.03,4.03,3.76,3.76,3.76,3.76
1561,Go In Shadows,Sour - Other,4.03,4.03,3.76,3.76,3.76,4.03
1562,Go In Shadows,Sour - Other,4.03,4.03,3.76,3.76,4.03,3.76
1563,Go In Shadows,Sour - Other,4.03,4.03,3.76,3.76,4.03,4.03
1564,Go In Shadows,Sour - Other,4.03,4.03,3.76,4.03,3.76,3.76
1565,Go In Shadows,Sour - Other,4.03,4.03,3.76,4.03,3.76,4.03
1566,Go In Shadows,Sour - Other,4.03,4.03,3.76,4.03,4.03,3.76
1567,Go In Shadows,Sour - Other,4.03,4.03,3.76,4.03,4.03,4.03
1568,Go In Shadows,Sour - Other,4.03,4.03,4.03,3.76,3.76,3.76
1569,Go In Shadows,Sour - Other,4.03,4.03,4.03,3.76,3.76,4.03
1570,Go In Shadows,Sour - Other,4.03,4.03,4.03,3.76,4.03,3.76
1571,Go In Shadows,Sour - Other,4.03,4.03,4.03,3.76,4.03,4.03
1572,Go In Shadows,Sour - Other,4.03,4.03,4.03,4.03,3.76,3.76
1573,Go In Shadows,Sour - Other,4.03,4.03,4.03,4.03,3.76,4.03
1574,Go In Shadows,Sour - Other,4.03,4.03,4.03,4.03,4.03,3.76
1575,Go In Shadows,Sour - Other,4.03,4.03,4.03,4.03,4.03,4.03
1576,Heavy Resin,IPA - Imperial / Double,4.19,4.19,4.19,4.19,4.19,4.19
1577,Kindred Beings,IPA - New England / Hazy,4.12,4.12,4.12,4.12,4.12,4.12
1578,Rust,Lager - Vienna,3.96,3.96,3.96,3.96,3.96,3.96
1579,Increasingly Valid Form of Expression,Sour - Other,3.93,3.93,3.93,3.93,3.93,3.93
1580,Philosophical Ideologies of Moralistic Indignation (NITRO),IPA - Imperial / Double,4.16,4.16,4.16,4.16,4.16,4.16
1581,Philosophically the Same,IPA - American,,,,,,
1582,A Glut of Cerebral Nomenclatures,IPA - American,3.99,3.99,3.99,3.99,3.99,3.99
1583,A Rather Genuine Expression of Apathy,IPA - American,4.12,4.12,4.12,4.12,4.12,4.12
1584,Paradoxical Contemplations of Nonsequitur,Stout - Imperial / Double,4.37,4.37,4.37,4.37,4.37,4.37
1585,Imaginative Exaggeration,IPA - Imperial / Double,4.38,4.38,4.38,4.38,4.38,4.38
1586,Have Everything And Have Nothing At All,Pilsner - Other,3.94,3.94,3.94,3.94,3.94,3.94
1587,These Damning Theories of Nonesuch,Stout - Imperial / Double,4.45,4.45,4.45,4.45,4.45,4.45
1588,But For Societal Constraints,Farmhouse Ale - Saison,3.94,3.94,3.94,3.94,3.94,3.94
1589,"A 1993 Portrait of Karmic Existence, Where the Ability To Stop Time Was Neverthere",Stout - Imperial / Double Coffee,4.57,4.57,4.57,4.57,4.57,4.57
1590,It Gives Them Purpose In A World Where They Do Nothing,Stout - Imperial / Double,4.45,4.45,4.45,4.45,4.45,4.45
1591,Altar of the Shunned,IPA - American,4.12,4.12,4.12,4.12,4.12,4.12
1592,Bourbon Barrel Aged Strong Ale,Strong Ale - Other,,,,,,
1593,Whatever You're After It's Not Inside,IPA - Imperial / Double,4.27,4.27,4.27,4.27,4.27,4.27
1594,And Just Don't Die This Time,IPA - American,4.14,4.14,4.14,4.14,4.14,4.14
1595,A Saying of Prayers,Barleywine - Other,4.18,4.18,4.18,4.18,4.18,4.18
1596,Playoff Mode,Lager - Dark,4.03,4.03,4.03,4.03,4.03,4.03
1597,A Space For Sacrilege,Sour - Other,3.87,3.87,3.87,3.87,3.87,3.87
1598,Cryptic Hymns,Bock - Hell / Maibock / Lentebock,3.93,3.93,3.93,3.93,3.93,3.93
1599,A Portrait of Discombobulated Sanctimony,IPA - Imperial / Double,4.34,4.34,4.34,4.34,4.34,4.34
1600,Skillet Snacks,Stout - Pastry,4.08,4.08,4.08,4.08,4.08,4.08
1601,Divination of the Prophetess,Pale Ale - American,3.93,3.93,3.93,3.93,3.93,3.93
1602,Mango Crush,Sour - Fruited,,,,,,
1603,Tiramisu Skillet,Stout - Coffee,4.02,4.02,4.02,4.02,4.02,4.02
1604,Spice World Skillet,Stout - Coffee,4.03,4.03,4.03,4.03,4.03,4.03
1605,Toast Yay Skillet,Stout - Coffee,4.11,4.11,4.11,4.11,4.11,4.11
1606,Irish Slammer Skillet,Stout - Coffee,4.04,4.04,4.04,4.04,4.04,4.04
1607,Ascent of the Blessed (2021),Sour - Fruited,4.01,4.01,4.01,4.01,4.01,4.01
1608,The Everlasting Is A Pathway For No One,Stout - Imperial / Double,4.35,4.35,4.35,4.35,4.35,4.35
1609,Total Disbelief in All Reality,IPA - American,4.16,4.16,4.16,4.16,4.16,4.16
1610,Skillet Macchiato,Stout - Coffee,,,,,,
1611,Into Dust,IPA - Imperial / Double,4.32,4.32,4.32,4.32,4.32,4.32
1612,Fall of the Rebel Angels (2021 Release),Sour - Fruited,4.08,4.08,4.08,4.08,4.08,4.08
1613,Normal Is Damnation’s Insult,IPA - American,4.18,4.18,4.18,4.18,4.18,4.18
1614,Of A Dying Season,Mead - Other,,,,,,
1615,Pursuit,Lager - Helles,3.96,3.96,3.96,3.96,3.96,3.96
1616,With Nothing But A Clear Conscience,IPA - Triple New England / Hazy,4.44,4.44,4.44,4.44,4.44,4.44
1617,Deliberate Distortions of Truth,IPA - Imperial / Double,4.38,4.38,4.38,4.38,4.38,4.38
1618,Duh,IPA - American,4.02,4.02,4.02,4.02,4.02,4.02
1619,Humanity Is A Wasteland of Boredom,Pilsner - Other,4.02,4.02,4.02,4.02,4.02,4.02
1620,Eighth Passing,Stout - Imperial / Double,4.48,4.48,4.48,4.48,4.48,4.48
1621,Anno Domini MMXXI,Stout - Imperial / Double,4.52,4.52,4.52,4.52,4.52,4.52
1622,The Pursuit of Clarity,Lager - Helles,,,,,,
1623,Dirty Monkey,Stout - Coffee,,,,,,
1624,Your Compliance Is Strongly Suggested,Stout - Imperial / Double,4.46,4.46,4.46,4.46,4.46,4.46
1625,Naturally Tangential Fascinations,IPA - Imperial / Double,4.28,4.28,4.28,4.28,4.28,4.28
1626,A Moment of Clandestine Barbarism,Wheat Beer - Witbier / Blanche,3.77,3.77,3.77,3.77,3.77,3.77
1627,The Garden of Earthly Delights VII (2021),Farmhouse Ale - Saison,4.08,4.08,4.08,4.08,4.08,4.08
1628,Deathproof,IPA - Imperial / Double Milkshake,4.18,4.18,4.18,4.18,4.18,4.18
1629,I Made This Map Myself,IPA - Imperial / Double,4.37,4.37,4.37,4.37,4.37,4.37
1630,One of Us Will Have To Bury the Other,Lager - American,4.11,4.11,4.11,4.11,4.11,4.11
1631,Subjective Interpretation Is An Understanding Nevertheless,Stout - Imperial / Double,4.41,4.41,4.41,4.41,4.41,4.41
1632,Waxarita,Sour - Other,,,,,,
1633,Baby Bull,Pale Ale - American,3.88,3.88,3.87,3.87,3.87,3.87
1634,A Summer Moment In Hawaii,Wheat Beer - Other,,,,,,
1635,A Canvas of Fragmented Memoirs,IPA - American,4.06,4.06,4.06,4.06,4.06,4.06
1636,Creamsicle IPA,IPA - American,,,,,,
1637,Seekers Aren’t We All,IPA - American,4.13,4.13,4.13,4.13,4.13,4.13
1638,A Curious Volume of Forgotten Lore,IPA - Triple,4.36,4.36,4.36,4.36,4.36,4.36
1639,Spectral Embrace of the Breathless,IPA - American,4.01,4.01,4.01,4.01,4.01,4.01
1640,Coke A Bolo,Sour - Other,,,,,,
1641,A Deeper Dissection of Harvest,IPA - Imperial / Double,4.43,4.43,4.43,4.43,4.43,4.43
1642,Excommunication From the Altar of Nonconformity,Stout - Imperial / Double,4.05,4.05,4.05,4.05,4.05,4.05
1643,The Keeper's Veil,Honey Beer,3.87,3.87,3.87,3.87,3.87,3.87
1644,Put Youth Behind You,Sour - Other,3.93,3.93,3.93,3.93,3.93,3.93
1645,Idol Dereliction,IPA - American,,,,,,
1646,To Wear Their Bones Across My Shoulders,IPA - American,4.06,4.06,4.06,4.06,4.06,4.06
1647,Death Be No Escape in the Valley of the Neverstill,Stout - Imperial / Double,4.45,4.45,4.45,4.45,4.45,4.45
1648,Bright,Pilsner - Italian,3.92,3.92,3.92,3.92,3.92,3.92
1649,The Manifesto,IPA - Triple New England / Hazy,4.37,4.37,4.37,4.37,4.37,4.37
1650,Precipice of Self-Immolation,IPA - American,4.07,4.07,4.07,4.07,4.07,4.07
1651,Burial Visuals,Sour - Other,4.19,4.19,4.19,4.19,4.19,4.19
1652,Burial Bolo Nitro,Brown Ale - Other,4.17,4.17,4.17,4.17,4.17,4.17
1653,Beneath the Tides of Relative Impermanence,IPA - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
1654,Ancestral Destiny,Lager - Vienna,3.95,3.95,3.95,3.95,3.95,3.95
1655,Idyllic Perspectives of Nonsequitur,Stout - Imperial / Double,4.06,4.06,4.06,4.06,4.06,4.06
1656,The Wretched Pit of Identity,IPA - American,3.96,3.96,3.96,3.96,3.96,3.96
1657,Radiate Indefinitely,Cider - Other Fruit,3.87,3.87,3.87,3.87,3.87,3.87
1658,The World Is Not My Home,Sour - Fruited,4.05,4.05,4.05,4.05,4.05,4.05
1659,Pardoned of Our Demons,Sour - Other,4.01,4.01,4.01,4.01,4.01,4.01
1660,Tou Cant Get There From Here (prickly Pear And Pink Guava),Sour - Fruited Gose,,,,,,
1661,Lessons In Solitude: Portrait I,IPA - American,3.95,3.95,3.95,3.95,3.95,3.95
1662,A Conscious Decision For Brevity,Farmhouse Ale - Saison,3.74,3.74,3.74,3.74,3.74,3.74
1663,Storied Relics of Death's Certain Path,IPA - Imperial / Double,4.18,4.18,4.18,4.18,4.18,4.18
1664,The Paranormal Electricity of Trans-Pacific Airwaves,IPA - American,4.18,4.18,4.18,4.18,4.18,4.18
1665,Lessons In Solitude: Portrait II,Stout - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
1666,Salted Caramel Espresso Imperial Stout Frappe Slushie,Stout - Imperial / Double Coffee,4.1,4.1,4.1,4.1,4.1,4.1
1667,We Go In Shadows,Sour - Fruited,,,,,,
1668,And Heathens We Shall Be,IPA - Imperial / Double,4.31,4.31,4.31,4.31,4.31,4.31
1669,Feather From the Ashes,IPA - American,3.96,3.96,3.96,3.96,3.96,3.96
1670,A Subtle Explanation of Fate's Role In Nothing,Stout - Imperial / Double,4.42,4.42,4.42,4.42,4.42,4.42
1671,Camp Bier,Traditional Ale,3.78,3.78,3.78,3.78,3.78,3.78
1672,To Drain Blood From the Night Sky,IPA - Imperial / Double,4.27,4.27,4.27,4.27,4.27,4.27
